sub-daily contribution to river [m3/s] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	  490.46640	  280.13968
2000	1	2	  490.63113	  280.10297
2000	1	3	  488.96808	  280.02057
2000	1	4	  490.04642	  279.90140
2000	1	5	  487.89514	  279.75244
2000	1	6	  487.42126	  279.57803
2000	1	7	  486.38806	  279.24704
2000	1	8	  486.98563	  278.78281
2000	1	9	  484.65320	  278.21411
2000	1	10	  484.11255	  277.55316
2000	1	11	  482.68085	  276.81619
2000	1	12	  481.16785	  275.99475
2000	1	13	  479.93506	  275.08624
2000	1	14	  477.94827	  274.10080
2000	1	15	  477.43945	  273.05490
2000	1	16	  475.55313	  271.95612
2000	1	17	  473.54568	  270.81567
2000	1	18	  472.17664	  269.64017
2000	1	19	  470.59528	  268.56726
2000	1	20	  469.06006	  267.57974
2000	1	21	  467.62762	  266.66550
2000	1	22	  466.66098	  265.81296
2000	1	23	  466.64795	  265.01215
2000	1	24	  464.29703	  264.25568
2000	2	1	  467.40372	  263.55365
2000	2	2	  471.21844	  262.90329
2000	2	3	  467.44360	  262.31308
2000	2	4	  470.39078	  261.77753
2000	2	5	  466.68433	  261.28906
2000	2	6	  483.60196	  260.85431
2000	2	7	  483.75024	  260.42557
2000	2	8	  480.59732	  259.99698
2000	2	9	  484.68188	  259.56601
2000	2	10	  492.10538	  259.13214
2000	2	11	  491.36951	  258.72018
2000	2	12	  498.54242	  258.33917
2000	2	13	  491.78357	  258.08951
2000	2	14	  491.46906	  257.90845
2000	2	15	  497.65506	  257.75580
2000	2	16	  494.59183	  257.67920
2000	2	17	  506.13037	  257.63651
2000	2	18	  500.61890	  257.63141
2000	2	19	  498.33701	  257.68109
2000	2	20	  502.51089	  257.88699
2000	2	21	  511.00833	  258.13300
2000	2	22	  523.56531	  258.42194
2000	2	23	  527.47302	  258.72339
2000	2	24	  527.90948	  259.11066
2000	3	1	  526.52423	  259.53265
2000	3	2	  530.51544	  259.98578
2000	3	3	  530.36237	  260.43210
2000	3	4	  532.90399	  260.88675
2000	3	5	  536.23773	  261.32416
2000	3	6	  536.06812	  261.72928
2000	3	7	  538.74689	  262.00574
2000	3	8	  542.76776	  262.18427
2000	3	9	  537.81506	  262.34891
2000	3	10	  541.73932	  262.52008
2000	3	11	  543.06342	  262.63388
2000	3	12	  543.73529	  262.69482
2000	3	13	  538.79828	  262.68942
2000	3	14	  538.99786	  262.63153
2000	3	15	  545.94800	  262.57773
2000	3	16	  544.62262	  262.54355
2000	3	17	  542.22192	  262.49792
2000	3	18	  540.04767	  262.41614
2000	3	19	  540.81067	  262.73282
2000	3	20	  541.02460	  263.16843
2000	3	21	  547.82751	  263.83072
2000	3	22	  547.28027	  264.49109
2000	3	23	  546.47943	  265.19513
2000	3	24	  543.77130	  265.90628
2000	4	1	  544.60400	  266.67877
2000	4	2	  546.16583	  267.41205
2000	4	3	  545.78632	  268.13794
