groundwater recharge [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.42957E+08	0.24987E+08
2000	2	1	0.51933E+08	0.25685E+08
2000	3	1	0.52766E+08	0.26448E+08
2000	4	1	0.48818E+08	0.27321E+08
2000	5	1	0.56417E+08	0.32228E+08
2000	6	1	0.60952E+08	0.36366E+08
2000	7	1	0.61316E+08	0.41504E+08
2000	8	1	0.63851E+08	0.39097E+08
2000	9	1	0.64548E+08	0.36636E+08
2000	10	1	0.59104E+08	0.34186E+08
2000	11	1	0.54448E+08	0.31969E+08
2000	12	1	0.50257E+08	0.29730E+08
2000	13	1	0.46593E+08	0.27731E+08
2000	14	1	0.43290E+08	0.25723E+08
2000	15	1	0.40315E+08	0.23932E+08
2000	16	1	0.37632E+08	0.22282E+08
2000	17	1	0.35577E+08	0.21124E+08
2000	18	1	0.39062E+08	0.22546E+08
2000	19	1	0.41647E+08	0.27134E+08
2000	20	1	0.39421E+08	0.25769E+08
2000	21	1	0.37335E+08	0.24235E+08
2000	22	1	0.35190E+08	0.22573E+08
2000	23	1	0.33165E+08	0.21091E+08
2000	24	1	0.31122E+08	0.19789E+08
2000	25	1	0.29092E+08	0.18661E+08
2000	26	1	0.27542E+08	0.17556E+08
2000	27	1	0.26050E+08	0.16585E+08
2000	28	1	0.27146E+08	0.17266E+08
2000	29	1	0.32379E+08	0.19659E+08
2000	30	1	0.34932E+08	0.22639E+08
2000	31	1	0.39200E+08	0.21786E+08
2000	32	1	0.38801E+08	0.20929E+08
2000	33	1	0.36862E+08	0.20047E+08
2000	34	1	0.34952E+08	0.18969E+08
2000	35	1	0.33026E+08	0.17792E+08
2000	36	1	0.31184E+08	0.16707E+08
2000	37	1	0.29281E+08	0.15725E+08
2000	38	1	0.28959E+08	0.15351E+08
2000	39	1	0.35966E+08	0.16310E+08
2000	40	1	0.41540E+08	0.20312E+08
2000	41	1	0.48779E+08	0.26190E+08
2000	42	1	0.53496E+08	0.33182E+08
2000	43	1	0.59866E+08	0.37799E+08
2000	44	1	0.69285E+08	0.44744E+08
2000	45	1	0.86251E+08	0.52366E+08
2000	46	1	0.87560E+08	0.48819E+08
2000	47	1	0.80567E+08	0.45275E+08
2000	48	1	0.74126E+08	0.41418E+08
2000	49	1	0.68598E+08	0.38298E+08
2000	50	1	0.63796E+08	0.35781E+08
