soil moisture in profile [mm] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	 1072.365	 1020.343
2000	2	 1086.822	 1024.848
2000	3	 1090.354	 1028.270
2000	4	 1088.233	 1031.582
2000	5	 1098.653	 1044.774
2000	6	 1106.125	 1054.848
2000	7	 1109.052	 1065.958
2000	8	 1114.289	 1064.546
2000	9	 1117.307	 1060.656
2000	10	 1115.027	 1055.849
2000	11	 1111.266	 1051.727
2000	12	 1107.086	 1048.094
2000	13	 1103.622	 1043.366
2000	14	 1099.544	 1039.111
2000	15	 1094.949	 1034.714
2000	16	 1090.361	 1030.609
2000	17	 1089.930	 1030.198
2000	18	 1096.398	 1034.604
2000	19	 1102.101	 1048.887
2000	20	 1100.823	 1045.706
2000	21	 1098.188	 1041.447
2000	22	 1094.103	 1037.263
2000	23	 1089.826	 1033.174
2000	24	 1085.648	 1029.527
2000	25	 1082.247	 1025.643
2000	26	 1078.805	 1022.070
2000	27	 1075.933	 1019.562
2000	28	 1080.181	 1023.887
2000	29	 1093.952	 1034.031
2000	30	 1100.183	 1044.947
2000	31	 1109.445	 1043.766
2000	32	 1110.298	 1040.870
2000	33	 1107.901	 1037.453
2000	34	 1104.293	 1033.528
2000	35	 1099.837	 1029.389
2000	36	 1095.792	 1025.399
2000	37	 1091.666	 1021.600
2000	38	 1093.141	 1022.988
2000	39	 1109.400	 1026.707
2000	40	 1120.732	 1043.624
2000	41	 1133.205	 1063.774
2000	42	 1140.832	 1082.643
2000	43	 1150.063	 1093.165
2000	44	 1161.663	 1106.475
2000	45	 1180.650	 1119.055
2000	46	 1183.450	 1115.586
2000	47	 1180.825	 1110.740
2000	48	 1175.765	 1105.534
2000	49	 1170.813	 1101.487
2000	50	 1166.010	 1098.150
2000	51	 1162.009	 1093.657
2000	52	 1158.283	 1090.040
2000	53	 1153.893	 1085.904
2000	54	 1149.219	 1081.895
2000	55	 1144.543	 1077.804
2000	56	 1140.539	 1074.189
2000	57	 1136.197	 1070.064
2000	58	 1132.467	 1066.792
2000	59	 1129.111	 1063.604
2000	60	 1125.479	 1060.016
2000	61	 1121.331	 1056.445
2000	62	 1117.511	 1053.083
2000	63	 1114.358	 1050.279
2000	64	 1111.379	 1047.925
2000	65	 1108.311	 1045.684
2000	66	 1105.366	 1043.586
2000	67	 1102.496	 1041.359
2000	68	 1099.439	 1038.903
2000	69	 1096.484	 1036.237
2000	70	 1094.433	 1033.966
2000	71	 1091.937	 1031.224
2000	72	 1088.974	 1028.635
2000	73	 1087.934	 1026.421
2000	74	 1084.752	 1023.391
2000	75	 1081.821	 1020.518
2000	76	 1079.855	 1017.642
2000	77	 1077.297	 1014.871
2000	78	 1074.959	 1012.022
2000	79	 1073.456	 1009.010
2000	80	 1076.593	 1006.413
2000	81	 1074.925	 1005.951
2000	82	 1071.590	 1003.487
2000	83	 1068.344	 1001.509
2000	84	 1065.630	  999.440
2000	85	 1062.323	  996.187
2000	86	 1058.746	  992.929
2000	87	 1055.184	  989.896
2000	88	 1052.187	  987.389
2000	89	 1049.593	  984.983
2000	90	 1047.003	  982.636
2000	91	 1044.295	  980.621
2000	92	 1041.417	  978.244
2000	93	 1038.554	  975.974
2000	94	 1035.533	  973.456
2000	95	 1032.551	  970.958
2000	96	 1029.498	  968.174
2000	97	 1026.112	  964.842
2000	98	 1022.808	  961.514
2000	99	 1019.523	  958.319
2000	100	 1016.503	  955.270
2000	101	 1013.772	  952.745
2000	102	 1011.339	  950.178
2000	103	 1008.564	  947.513
2000	104	 1005.882	  945.052
2000	105	 1003.099	  942.468
2000	106	  999.958	  939.573
2000	107	  996.678	  936.220
2000	108	  993.614	  932.938
2000	109	  991.139	  930.077
2000	110	  988.380	  927.442
