total overland flow [m**3] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.45087E+05	0.12980E+00
2000	2	0.50470E+06	0.59294E+02
2000	3	0.30663E+06	0.47085E+02
2000	4	0.97709E+05	0.44043E+02
2000	5	0.53999E+06	0.18188E+03
2000	6	0.61547E+06	0.13545E+03
2000	7	0.47093E+06	0.14541E+05
2000	8	0.66773E+06	0.15467E+05
2000	9	0.54614E+06	0.54735E+03
2000	10	0.19158E+06	0.14789E+00
2000	11	0.49097E+05	0.14517E+00
2000	12	0.27490E+05	0.14310E+00
2000	13	0.47204E+05	0.14102E+00
2000	14	0.18896E+05	0.13872E+00
2000	15	0.39835E+04	0.13652E+00
2000	16	0.52393E+02	0.13429E+00
2000	17	0.18421E+02	0.15198E+02
2000	18	0.13616E+04	0.53719E+02
2000	19	0.43665E+05	0.18719E+03
2000	20	0.17260E+05	0.14184E+00
2000	21	0.39365E+04	0.13931E+00
2000	22	0.16032E+00	0.13669E+00
2000	23	0.15766E+00	0.13440E+00
2000	24	0.15515E+00	0.13241E+00
2000	25	0.15307E+00	0.13055E+00
2000	26	0.15121E+00	0.12864E+00
2000	27	0.14948E+00	0.12693E+00
2000	28	0.65862E+02	0.36796E+02
2000	29	0.17722E+03	0.13742E+03
2000	30	0.73731E+02	0.13201E+03
2000	31	0.31209E+06	0.13910E+00
2000	32	0.22608E+02	0.13782E+00
2000	33	0.10273E+01	0.13583E+00
2000	34	0.16539E+00	0.13379E+00
2000	35	0.16282E+00	0.13177E+00
2000	36	0.16026E+00	0.12977E+00
2000	37	0.15808E+00	0.12784E+00
2000	38	0.28274E+02	0.97439E+01
2000	39	0.19711E+03	0.35031E+02
2000	40	0.14454E+03	0.21513E+03
2000	41	0.12085E+06	0.26760E+03
2000	42	0.22309E+06	0.93772E+06
2000	43	0.38744E+06	0.12675E+03
2000	44	0.72572E+06	0.61233E+05
2000	45	0.19252E+07	0.31519E+06
2000	46	0.86053E+06	0.24235E+05
2000	47	0.25374E+06	0.12366E+03
2000	48	0.21025E+05	0.42201E+02
2000	49	0.71768E+04	0.28057E+00
2000	50	0.11396E+05	0.16901E+00
2000	51	0.40908E+05	0.16683E+00
2000	52	0.20108E+05	0.16456E+00
2000	53	0.38365E+04	0.16244E+00
2000	54	0.61955E+02	0.16017E+00
2000	55	0.59744E+01	0.15794E+00
2000	56	0.18380E+00	0.15579E+00
2000	57	0.18149E+00	0.15362E+00
