groundwater discharge [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.88208E+07	0.49994E+07
2000	2	1	0.90885E+07	0.51283E+07
2000	3	1	0.93595E+07	0.52611E+07
2000	4	1	0.96040E+07	0.53986E+07
2000	5	1	0.98942E+07	0.55659E+07
2000	6	1	0.10210E+08	0.57581E+07
2000	7	1	0.10527E+08	0.59812E+07
2000	8	1	0.10856E+08	0.61878E+07
2000	9	1	0.11188E+08	0.63779E+07
2000	10	1	0.11483E+08	0.65514E+07
2000	11	1	0.11747E+08	0.67100E+07
2000	12	1	0.11984E+08	0.68536E+07
2000	13	1	0.12195E+08	0.69838E+07
2000	14	1	0.12385E+08	0.71005E+07
2000	15	1	0.12555E+08	0.72054E+07
2000	16	1	0.12707E+08	0.72992E+07
2000	17	1	0.12846E+08	0.73852E+07
2000	18	1	0.13005E+08	0.74795E+07
2000	19	1	0.13178E+08	0.76021E+07
2000	20	1	0.13337E+08	0.77153E+07
2000	21	1	0.13482E+08	0.78182E+07
2000	22	1	0.13612E+08	0.79100E+07
2000	23	1	0.13729E+08	0.79920E+07
2000	24	1	0.13832E+08	0.80652E+07
2000	25	1	0.13922E+08	0.81310E+07
2000	26	1	0.14002E+08	0.81894E+07
2000	27	1	0.14073E+08	0.82413E+07
2000	28	1	0.14149E+08	0.82972E+07
2000	29	1	0.14257E+08	0.83677E+07
2000	30	1	0.14380E+08	0.84566E+07
2000	31	1	0.14527E+08	0.85395E+07
2000	32	1	0.14672E+08	0.86165E+07
2000	33	1	0.14803E+08	0.86874E+07
2000	34	1	0.14922E+08	0.87512E+07
2000	35	1	0.15029E+08	0.88072E+07
2000	36	1	0.15123E+08	0.88560E+07
2000	37	1	0.15204E+08	0.88984E+07
2000	38	1	0.15284E+08	0.89381E+07
2000	39	1	0.15405E+08	0.89836E+07
2000	40	1	0.15559E+08	0.90539E+07
2000	41	1	0.15757E+08	0.91608E+07
2000	42	1	0.15981E+08	0.93109E+07
2000	43	1	0.16243E+08	0.94891E+07
2000	44	1	0.16560E+08	0.97098E+07
2000	45	1	0.16977E+08	0.99769E+07
2000	46	1	0.17398E+08	0.10220E+08
2000	47	1	0.17774E+08	0.10440E+08
2000	48	1	0.18107E+08	0.10633E+08
2000	49	1	0.18405E+08	0.10806E+08
2000	50	1	0.18671E+08	0.10962E+08
2000	51	1	0.18907E+08	0.11104E+08
2000	52	1	0.19120E+08	0.11231E+08
2000	53	1	0.19312E+08	0.11344E+08
2000	54	1	0.19482E+08	0.11446E+08
2000	55	1	0.19632E+08	0.11535E+08
2000	56	1	0.19763E+08	0.11615E+08
2000	57	1	0.19878E+08	0.11684E+08
2000	58	1	0.19979E+08	0.11745E+08
2000	59	1	0.20067E+08	0.11799E+08
2000	60	1	0.20144E+08	0.11846E+08
2000	61	1	0.20211E+08	0.11885E+08
2000	62	1	0.20266E+08	0.11919E+08
2000	63	1	0.20311E+08	0.11947E+08
2000	64	1	0.20350E+08	0.11970E+08
2000	65	1	0.20381E+08	0.11991E+08
2000	66	1	0.20406E+08	0.12008E+08
2000	67	1	0.20424E+08	0.12021E+08
2000	68	1	0.20437E+08	0.12032E+08
2000	69	1	0.20443E+08	0.12039E+08
2000	70	1	0.20445E+08	0.12043E+08
2000	71	1	0.20442E+08	0.12044E+08
2000	72	1	0.20435E+08	0.12042E+08
2000	73	1	0.20424E+08	0.12037E+08
2000	74	1	0.20410E+08	0.12030E+08
2000	75	1	0.20392E+08	0.12019E+08
2000	76	1	0.20370E+08	0.12006E+08
2000	77	1	0.20345E+08	0.11991E+08
2000	78	1	0.20317E+08	0.11974E+08
2000	79	1	0.20287E+08	0.11954E+08
2000	80	1	0.20261E+08	0.11932E+08
2000	81	1	0.20233E+08	0.11909E+08
2000	82	1	0.20202E+08	0.11884E+08
2000	83	1	0.20167E+08	0.11858E+08
2000	84	1	0.20129E+08	0.11831E+08
2000	85	1	0.20088E+08	0.11802E+08
2000	86	1	0.20043E+08	0.11771E+08
2000	87	1	0.19995E+08	0.11739E+08
2000	88	1	0.19945E+08	0.11706E+08
2000	89	1	0.19892E+08	0.11671E+08
2000	90	1	0.19837E+08	0.11636E+08
2000	91	1	0.19781E+08	0.11600E+08
2000	92	1	0.19722E+08	0.11562E+08
2000	93	1	0.19661E+08	0.11524E+08
2000	94	1	0.19598E+08	0.11485E+08
2000	95	1	0.19533E+08	0.11444E+08
2000	96	1	0.19467E+08	0.11403E+08
2000	97	1	0.19398E+08	0.11361E+08
2000	98	1	0.19327E+08	0.11317E+08
