sub-daily contribution to river [m3/s] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	   52.89358	   19.88721
2000	2	1	   53.14642	   19.98353
2000	3	1	   53.41533	   20.08857
2000	4	1	   53.66095	   20.20426
2000	5	1	   54.03825	   20.38044
2000	6	1	   54.49326	   20.60004
2000	7	1	   54.99009	   20.88046
2000	8	1	   55.56352	   21.13864
2000	9	1	   56.19066	   21.38943
2000	10	1	   56.77618	   21.62523
2000	11	1	   57.33361	   21.84728
2000	12	1	   57.85495	   22.05549
2000	13	1	   58.34314	   22.24724
2000	14	1	   58.79427	   22.42477
2000	15	1	   59.21052	   22.58743
2000	16	1	   59.59417	   22.73617
2000	17	1	   59.95553	   22.87454
2000	18	1	   60.40874	   23.03624
2000	19	1	   60.92611	   23.26152
2000	20	1	   61.40580	   23.45453
2000	21	1	   61.86431	   23.64427
2000	22	1	   62.28676	   23.81933
2000	23	1	   62.67626	   23.98036
2000	24	1	   63.02969	   24.12876
2000	25	1	   63.34566	   24.26374
2000	26	1	   63.62900	   24.38662
2000	27	1	   63.88219	   24.49924
2000	28	1	   64.18172	   24.61749
2000	29	1	   64.61855	   24.78128
2000	30	1	   65.12592	   24.99425
2000	31	1	   65.75996	   25.18433
2000	32	1	   66.39287	   25.37244
2000	33	1	   66.98755	   25.55045
2000	34	1	   67.54398	   25.71428
2000	35	1	   68.05734	   25.86377
2000	36	1	   68.52892	   25.99964
2000	37	1	   68.95233	   26.12224
2000	38	1	   69.38049	   26.23783
2000	39	1	   72.09654	   26.37726
2000	40	1	   70.84921	   26.59376
2000	41	1	   71.89984	   30.66501
2000	42	1	   73.11399	   31.76000
2000	43	1	   74.55090	   27.98252
2000	44	1	   76.31695	   28.71377
2000	45	1	  159.93585	   29.61753
2000	46	1	   81.85154	   30.46418
2000	47	1	   83.80985	   31.27345
2000	48	1	   85.62580	   32.02031
2000	49	1	   87.56687	   32.71756
2000	50	1	   89.37549	   33.37080
2000	51	1	   91.02522	   33.97950
2000	52	1	   92.55669	   34.54969
2000	53	1	   93.97196	   35.07873
2000	54	1	   95.26676	   35.57013
2000	55	1	   96.43757	   36.02589
2000	56	1	   97.49828	   36.44917
2000	57	1	   98.46159	   36.83773
2000	58	1	   99.33286	   37.19954
2000	59	1	  100.12870	   37.53539
2000	60	1	  100.85803	   37.84394
2000	61	1	  101.51455	   38.12632
2000	62	1	  102.09676	   38.38483
2000	63	1	  102.61681	   38.62366
2000	64	1	  103.09218	   38.84630
2000	65	1	  103.52149	   39.05412
2000	66	1	  103.90748	   39.24804
2000	67	1	  104.25244	   39.42752
2000	68	1	  104.55583	   39.59175
2000	69	1	  104.81982	   39.74076
2000	70	1	  105.04719	   39.87604
2000	71	1	  105.24488	   39.99646
2000	72	1	  105.41402	   40.10395
2000	73	1	  105.56245	   40.20077
2000	74	1	  105.68198	   40.28311
2000	75	1	  105.77554	   40.35284
2000	76	1	  105.84039	   40.41039
2000	77	1	  105.88426	   40.45712
2000	78	1	  105.90940	   40.49287
2000	79	1	  105.91467	   40.51749
2000	80	1	  105.95980	   40.53329
2000	81	1	  105.97858	   40.54202
2000	82	1	  105.97569	   40.54200
2000	83	1	  105.94724	   40.53616
2000	84	1	  105.89712	   40.52478
2000	85	1	  105.82228	   40.50432
2000	86	1	  105.72253	   40.47459
2000	87	1	  105.60017	   40.43677
2000	88	1	  105.45966	   40.39272
2000	89	1	  105.30386	   40.34280
2000	90	1	  105.13316	   40.28695
2000	91	1	  104.94757	   40.22655
2000	92	1	  104.74727	   40.16048
2000	93	1	  104.53185	   40.08929
2000	94	1	  104.30108	   40.01246
2000	95	1	  104.05566	   39.93031
2000	96	1	  103.79611	   39.84246
2000	97	1	  103.52139	   39.74826
2000	98	1	  103.23250	   39.64816
2000	99	1	  102.93024	   39.54285
2000	100	1	  102.61681	   39.43293
2000	101	1	  102.29343	   39.31928
2000	102	1	  101.96208	   39.20192
2000	103	1	  101.62106	   39.08061
2000	104	1	  101.27131	   38.95584
2000	105	1	  100.91301	   38.82761
2000	106	1	  100.54581	   38.69596
2000	107	1	  100.17002	   38.55680
2000	108	1	   99.78676	   38.41380
2000	109	1	   99.39828	   38.26833
2000	110	1	   99.00381	   38.12070
2000	111	1	   98.60584	   37.97168
2000	112	1	   98.20499	   37.82172
2000	113	1	   97.80032	   37.67078
2000	114	1	   97.39127	   37.51819
2000	115	1	   96.97871	   37.36465
2000	116	1	   96.56192	   37.20971
2000	117	1	   96.14056	   37.05309
2000	118	1	   95.71471	   36.89463
2000	119	1	   95.28564	   36.73452
2000	120	1	   94.85350	   36.57324
2000	121	1	   94.41824	   36.41073
2000	122	1	   93.98071	   36.24703
2000	123	1	   93.54010	   36.08191
2000	124	1	   93.09757	   35.91592
2000	125	1	   92.65380	   35.74935
2000	126	1	   92.20913	   35.58249
2000	127	1	   91.76345	   35.41501
2000	128	1	   91.31710	   35.24740
2000	129	1	   90.87080	   35.08000
2000	130	1	   90.42414	   34.91239
2000	131	1	   89.97647	   34.74430
2000	132	1	   89.52789	   34.57580
2000	133	1	   89.07903	   34.40732
2000	134	1	   88.63007	   34.23854
2000	135	1	   88.18081	   34.06949
2000	136	1	   87.73124	   33.90016
2000	137	1	   87.28139	   33.73068
2000	138	1	   86.83141	   33.56112
2000	139	1	   86.38038	   33.39154
2000	140	1	   85.92624	   33.22193
2000	141	1	   85.47239	   33.05222
2000	142	1	   85.01908	   32.88246
2000	143	1	   84.56630	   32.71264
2000	144	1	   84.11454	   32.54302
2000	145	1	   83.66343	   32.37345
2000	146	1	   83.21294	   32.20393
2000	147	1	   82.76307	   32.03451
2000	148	1	   82.31382	   31.86518
2000	149	1	   81.86541	   31.69604
2000	150	1	   81.41805	   31.52717
2000	151	1	   80.97166	   31.35856
2000	152	1	   80.52621	   31.19016
2000	153	1	   80.08183	   31.02201
2000	154	1	   79.63864	   30.85421
2000	155	1	   79.19695	   30.68689
2000	156	1	   78.75690	   30.52013
2000	157	1	   78.31870	   30.35393
