River sediment load in ton/timestep (with MAP IDs as in hymo.dat)
Year	Day	Timestep	15	69
2000	1	1	    0.000	    0.000
2000	2	1	   87.706	    0.000
2000	3	1	  265.186	    0.001
2000	4	1	  445.253	    0.001
2000	5	1	  556.346	    0.002
2000	6	1	  513.236	    2.489
2000	7	1	  468.183	   20.072
2000	8	1	  428.130	   62.131
2000	9	1	  387.652	  124.984
2000	10	1	  341.635	  194.292
2000	11	1	  285.466	  251.031
2000	12	1	  215.424	  295.611
2000	13	1	  136.093	  329.109
2000	14	1	   85.263	  351.775
2000	15	1	   66.778	  363.148
2000	16	1	   49.931	  362.193
2000	17	1	   34.231	  347.696
2000	18	1	   21.314	  320.196
2000	19	1	   11.293	  284.787
2000	20	1	    4.640	  246.278
2000	21	1	    1.677	  206.557
2000	22	1	    0.841	  168.039
2000	23	1	    0.545	  132.984
2000	24	1	    0.314	  102.426
2000	25	1	    0.179	   76.513
2000	26	1	    0.129	   55.319
2000	27	1	    0.103	   38.677
2000	28	1	    0.081	   26.168
2000	29	1	    1.170	   17.230
2000	30	1	    3.371	   11.166
2000	31	1	    5.573	    7.144
2000	32	1	    6.857	    4.419
2000	33	1	    6.117	    2.607
2000	34	1	    5.305	    1.658
2000	35	1	    4.493	    1.499
2000	36	1	    3.681	    1.917
2000	37	1	    2.869	    2.590
2000	38	1	    2.057	    3.173
2000	39	1	   10.534	    3.609
2000	40	1	   28.299	    7.534
2000	41	1	   47.274	   48.840
2000	42	1	   60.625	  163.209
2000	43	1	   60.167	  317.021
2000	44	1	   69.010	  473.225
2000	45	1	  503.926	  626.506
2000	46	1	 1363.159	  718.170
2000	47	1	 2220.804	  710.434
2000	48	1	 2714.191	  666.914
2000	49	1	 2431.685	  634.028
2000	50	1	 2106.100	  670.745
2000	51	1	 1780.347	  823.156
2000	52	1	 1457.951	 1072.479
2000	53	1	 1135.948	 1345.174
2000	54	1	  814.412	 1545.317
2000	55	1	  493.724	 1671.170
2000	56	1	  176.713	 1726.511
2000	57	1	   10.861	 1715.492
2000	58	1	    1.559	 1643.240
2000	59	1	    0.631	 1525.406
2000	60	1	    0.423	 1379.022
2000	61	1	    0.262	 1201.603
2000	62	1	    0.115	 1004.712
2000	63	1	    0.025	  810.700
2000	64	1	    0.002	  627.437
2000	65	1	    0.000	  464.089
2000	66	1	    0.000	  328.436
2000	67	1	    0.000	  222.042
2000	68	1	    0.000	  141.691
2000	69	1	    0.000	   83.692
2000	70	1	    0.000	   44.352
2000	71	1	    0.000	   19.997
2000	72	1	    0.000	    6.958
2000	73	1	    0.000	    1.573
2000	74	1	    0.000	    0.206
2000	75	1	    0.000	    0.055
2000	76	1	    0.000	    0.026
2000	77	1	    0.000	    0.012
2000	78	1	    0.000	    0.005
2000	79	1	    0.000	    0.001
2000	80	1	    0.000	    0.000
2000	81	1	    0.000	    0.000
2000	82	1	    0.000	    0.000
2000	83	1	    0.000	    0.000
2000	84	1	    0.000	    0.000
2000	85	1	    0.000	    0.000
2000	86	1	    0.000	    0.000
2000	87	1	    0.000	    0.000
2000	88	1	    0.000	    0.000
2000	89	1	    0.000	    0.000
2000	90	1	    0.000	    0.000
2000	91	1	    0.000	    0.000
2000	92	1	    0.000	    0.000
2000	93	1	    0.000	    0.000
2000	94	1	    0.000	    0.000
2000	95	1	    0.000	    0.000
2000	96	1	    0.000	    0.000
2000	97	1	    0.000	    0.000
2000	98	1	    0.000	    0.000
2000	99	1	    0.000	    0.000
2000	100	1	    0.000	    0.000
2000	101	1	    0.000	    0.000
2000	102	1	    0.000	    0.000
2000	103	1	    0.000	    0.000
2000	104	1	    0.000	    0.000
2000	105	1	    0.000	    0.000
2000	106	1	    0.000	    0.000
2000	107	1	    0.000	    0.000
2000	108	1	    0.000	    0.000
2000	109	1	    0.000	    0.000
2000	110	1	    0.000	    0.000
2000	111	1	    0.000	    0.000
2000	112	1	    0.000	    0.000
2000	113	1	    0.000	    0.000
2000	114	1	    0.000	    0.000
2000	115	1	    0.000	    0.000
2000	116	1	    0.000	    0.000
2000	117	1	    0.000	    0.000
2000	118	1	    0.000	    0.000
2000	119	1	    0.000	    0.000
2000	120	1	    0.000	    0.000
2000	121	1	    0.000	    0.000
2000	122	1	    0.000	    0.000
2000	123	1	    0.000	    0.000
2000	124	1	    0.000	    0.000
2000	125	1	    0.000	    0.000
2000	126	1	    0.000	    0.000
2000	127	1	    0.000	    0.000
2000	128	1	    0.000	    0.000
2000	129	1	    0.000	    0.000
2000	130	1	    0.000	    0.000
2000	131	1	    0.000	    0.000
2000	132	1	    0.000	    0.000
2000	133	1	    0.000	    0.000
2000	134	1	    0.000	    0.000
2000	135	1	    0.000	    0.000
2000	136	1	    0.000	    0.000
2000	137	1	    0.000	    0.000
2000	138	1	    0.000	    0.000
2000	139	1	    0.000	    0.000
2000	140	1	    0.000	    0.000
2000	141	1	    0.000	    0.000
2000	142	1	    0.000	    0.000
2000	143	1	    0.000	    0.000
2000	144	1	    0.000	    0.000
2000	145	1	    0.000	    0.000
2000	146	1	    0.000	    0.000
2000	147	1	    0.000	    0.000
2000	148	1	    0.000	    0.000
2000	149	1	    0.000	    0.000
2000	150	1	    0.000	    0.000
2000	151	1	    0.000	    0.000
2000	152	1	    0.000	    0.000
2000	153	1	    0.000	    0.000
2000	154	1	    0.000	    0.000
2000	155	1	    0.000	    0.000
2000	156	1	    0.000	    0.000
2000	157	1	    0.000	    0.000
2000	158	1	    0.000	    0.000
2000	159	1	    0.000	    0.000
2000	160	1	    0.000	    0.000
2000	161	1	    0.000	    0.000
2000	162	1	    0.000	    0.000
2000	163	1	    0.000	    0.000
2000	164	1	    0.000	    0.000
2000	165	1	    0.000	    0.000
2000	166	1	    0.000	    0.000
2000	167	1	    0.000	    0.000
2000	168	1	    0.000	    0.000
2000	169	1	    0.000	    0.000
2000	170	1	    0.000	    0.000
2000	171	1	    0.000	    0.000
2000	172	1	    0.000	    0.000
2000	173	1	    0.000	    0.000
2000	174	1	    0.000	    0.000
2000	175	1	    0.000	    0.000
2000	176	1	    0.000	    0.000
2000	177	1	    0.000	    0.000
2000	178	1	    0.000	    0.000
2000	179	1	    0.000	    0.000
2000	180	1	    0.000	    0.000
2000	181	1	    0.000	    0.000
2000	182	1	    0.000	    0.000
2000	183	1	    0.000	    0.000
2000	184	1	    0.000	    0.000
2000	185	1	    0.000	    0.000
2000	186	1	    0.000	    0.000
2000	187	1	    0.000	    0.000
2000	188	1	    0.000	    0.000
2000	189	1	    0.000	    0.000
2000	190	1	    0.000	    0.000
2000	191	1	    0.000	    0.000
2000	192	1	    0.000	    0.000
2000	193	1	    0.000	    0.000
2000	194	1	    0.000	    0.000
2000	195	1	    0.000	    0.000
2000	196	1	    0.000	    0.000
2000	197	1	    0.000	    0.000
2000	198	1	    0.000	    0.000
2000	199	1	    0.000	    0.000
2000	200	1	    0.000	    0.000
2000	201	1	    0.000	    0.000
2000	202	1	    0.000	    0.000
2000	203	1	    0.000	    0.000
2000	204	1	    0.000	    0.000
2000	205	1	    0.000	    0.000
2000	206	1	    0.000	    0.000
2000	207	1	    0.000	    0.000
2000	208	1	    0.000	    0.000
2000	209	1	    0.000	    0.000
2000	210	1	    0.000	    0.000
2000	211	1	    0.000	    0.000
2000	212	1	    0.000	    0.000
2000	213	1	    0.000	    0.000
2000	214	1	    0.000	    0.000
2000	215	1	    0.000	    0.000
2000	216	1	    0.000	    0.000
2000	217	1	    0.000	    0.000
2000	218	1	    0.000	    0.000
2000	219	1	    0.000	    0.000
2000	220	1	    0.000	    0.000
2000	221	1	    0.001	    0.000
2000	222	1	    0.001	    0.000
2000	223	1	    0.002	    0.000
2000	224	1	    0.002	    0.000
2000	225	1	    0.001	    0.000
2000	226	1	    0.001	    0.001
2000	227	1	    0.001	    0.001
2000	228	1	    0.001	    0.001
2000	229	1	    0.001	    0.001
2000	230	1	    0.000	    0.001
2000	231	1	    0.000	    0.001
2000	232	1	    0.000	    0.001
2000	233	1	    0.000	    0.001
2000	234	1	    0.000	    0.001
2000	235	1	    0.000	    0.001
2000	236	1	    0.000	    0.001
2000	237	1	    0.000	    0.001
2000	238	1	    0.000	    0.001
2000	239	1	    0.000	    0.000
2000	240	1	    0.000	    0.000
2000	241	1	    0.000	    0.000
2000	242	1	    0.000	    0.000
2000	243	1	    0.000	    0.000
2000	244	1	    0.000	    0.000
2000	245	1	    0.000	    0.000
2000	246	1	    0.000	    0.000
2000	247	1	    0.000	    0.000
2000	248	1	    0.000	    0.000
2000	249	1	    0.000	    0.000
2000	250	1	    0.000	    0.000
2000	251	1	    0.001	    0.000
2000	252	1	    0.001	    0.000
2000	253	1	    0.001	    0.000
2000	254	1	    0.001	    0.001
2000	255	1	    0.001	    0.001
2000	256	1	    0.001	    0.001
2000	257	1	    0.001	    0.001
2000	258	1	    0.000	    0.001
2000	259	1	    0.000	    0.001
2000	260	1	    0.000	    0.001
2000	261	1	    0.000	    0.001
2000	262	1	    0.000	    0.001
2000	263	1	    0.000	    0.001
2000	264	1	    0.000	    0.001
2000	265	1	    0.000	    0.001
2000	266	1	    0.000	    0.001
2000	267	1	    0.000	    0.000
2000	268	1	    0.000	    0.000
2000	269	1	    0.000	    0.000
2000	270	1	    0.000	    0.000
2000	271	1	    0.000	    0.000
2000	272	1	    0.000	    0.000
2000	273	1	    0.000	    0.000
2000	274	1	    0.001	    0.000
2000	275	1	    0.001	    0.000
2000	276	1	    0.002	    0.001
2000	277	1	    0.002	    0.001
2000	278	1	    0.002	    0.001
2000	279	1	    0.002	  146.460
2000	280	1	    0.003	  439.378
2000	281	1	    0.004	  732.297
2000	282	1	    0.005	 1025.216
2000	283	1	    0.005	 1311.003
2000	284	1	    0.005	 1335.916
2000	285	1	    0.005	 1229.504
2000	286	1	    0.004	 1123.092
2000	287	1	    0.004	 1016.679
2000	288	1	    0.003	  910.267
2000	289	1	    0.003	  803.854
2000	290	1	    0.004	  697.442
2000	291	1	    0.005	  591.030
2000	292	1	    0.005	  484.617
2000	293	1	    0.005	  378.205
2000	294	1	    0.005	  271.791
2000	295	1	    0.004	  165.378
2000	296	1	    0.003	   58.964
2000	297	1	    0.003	    2.728
2000	298	1	    0.002	    0.009
2000	299	1	    0.001	    0.008
2000	300	1	    0.001	    0.008
2000	301	1	    0.001	    0.007
2000	302	1	    0.001	    0.006
2000	303	1	    0.002	    0.006
2000	304	1	    0.002	    0.005
2000	305	1	    0.003	    0.004
2000	306	1	    0.003	    0.004
2000	307	1	    0.003	    0.004
2000	308	1	    0.003	    0.004
2000	309	1	    0.004	    2.630
2000	310	1	    0.004	    7.882
2000	311	1	    0.005	   13.133
2000	312	1	    0.005	   18.385
2000	313	1	    0.005	   23.508
2000	314	1	    0.005	   23.955
2000	315	1	   56.955	   81.652
2000	316	1	  170.855	  198.953
2000	317	1	  284.756	  316.253
2000	318	1	  351.116	  433.554
2000	319	1	  313.230	  549.566
2000	320	1	  271.649	  569.176
2000	321	1	  230.069	  550.993
2000	322	1	  188.488	  545.818
2000	323	1	  146.907	  543.941
2000	324	1	  105.327	  532.533
2000	325	1	   63.746	  511.603
2000	326	1	   22.166	  481.624
2000	327	1	    0.667	  443.971
2000	328	1	    0.003	  399.176
2000	329	1	    0.002	  346.805
2000	330	1	    0.002	  287.280
2000	331	1	    0.002	  221.647
2000	332	1	    0.001	  153.274
2000	333	1	    0.001	  105.545
2000	334	1	    0.001	   80.840
2000	335	1	    0.001	   59.769
2001	1	1	   0.001	  42.268
2001	2	1	  20.512	  75.275
2001	3	1	  61.534	 158.368
2001	4	1	 102.556	 244.347
2001	5	1	 126.455	 332.738
2001	6	1	 112.811	 421.371
2001	7	1	  97.836	 431.753
2001	8	1	  82.860	 406.862
2001	9	1	  67.884	 387.171
2001	10	1	  52.909	 368.817
2001	11	1	  37.933	 347.040
2001	12	1	  22.958	 321.835
2001	13	1	   7.982	 293.370
2001	14	1	   0.239	 261.818
2001	15	1	   0.000	 227.348
2001	16	1	   0.000	 190.132
2001	17	1	   0.000	 150.340
2001	18	1	   0.000	 108.347
2001	19	1	   0.000	  65.369
2001	20	1	   2.925	 118.090
2001	21	1	  11.112	 274.850
2001	22	1	  37.878	 445.620
2001	23	1	  78.447	 624.792
2001	24	1	 111.710	 803.319
2001	25	1	 127.100	 841.484
2001	26	1	 112.796	 798.411
2001	27	1	  97.622	 744.532
2001	28	1	  82.553	 688.558
2001	29	1	  67.472	 634.867
2001	30	1	  54.999	 581.621
2001	31	1	  45.770	 525.039
