total sediment production [t] for all sub-basins (MAP-IDs) and particle classes{ 3}
Year	Day 	15:1	15:2	15:3	69:1	69:2	69:3
2000	1	    0.001	    0.001	    0.001	    0.000	    0.000	    0.000
2000	2	 1286.146	 1007.069	 1103.932	    0.004	    0.003	    0.004
2000	3	   18.233	   14.459	   47.415	    0.003	    0.003	    0.004
2000	4	    4.575	    3.628	   11.897	    0.003	    0.003	    0.004
2000	5	   32.808	   26.017	   85.317	    0.010	    0.008	    0.011
2000	6	   38.310	   30.380	   99.626	    0.008	    0.006	    0.009
2000	7	   31.914	   25.308	   82.992	    0.009	    0.007	    0.010
2000	8	   49.113	   38.947	  127.720	    0.001	    0.001	    0.001
2000	9	   39.473	   31.302	  102.651	    0.000	    0.000	    0.000
2000	10	   10.582	    8.392	   27.519	    0.000	    0.000	    0.000
2000	11	    1.820	    1.443	    4.733	    0.000	    0.000	    0.000
2000	12	    0.799	    0.634	    2.079	    0.000	    0.000	    0.000
2000	13	    1.585	    1.257	    4.122	    0.000	    0.000	    0.000
2000	14	    0.476	    0.378	    1.239	    0.000	    0.000	    0.000
2000	15	    0.054	    0.043	    0.140	    0.000	    0.000	    0.000
2000	16	    0.000	    0.000	    0.001	    0.000	    0.000	    0.000
2000	17	    0.000	    0.000	    0.001	    0.002	    0.001	    0.002
2000	18	    0.001	    0.001	    0.002	    0.004	    0.003	    0.004
2000	19	    0.001	    0.001	    0.002	    0.010	    0.008	    0.012
2000	20	    0.262	    0.208	    0.682	    0.000	    0.000	    0.000
2000	21	    0.010	    0.008	    0.025	    0.000	    0.000	    0.000
2000	22	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	23	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	24	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	25	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	26	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	27	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	28	    0.001	    0.000	    0.002	    0.004	    0.003	    0.004
2000	29	    9.802	    7.773	   25.491	    0.008	    0.006	    0.009
2000	30	    0.001	    0.001	    0.002	    0.008	    0.006	    0.009
2000	31	    0.001	    0.001	    0.003	    0.001	    0.001	    0.001
2000	32	    0.000	    0.000	    0.001	    0.000	    0.000	    0.000
2000	33	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	34	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	35	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	36	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	37	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	38	    0.000	    0.000	    0.001	    0.002	    0.001	    0.002
2000	39	   81.887	   64.936	  212.948	    0.003	    0.002	    0.003
2000	40	    0.001	    0.001	    0.004	  105.953	   83.126	  127.939
2000	41	    7.211	    5.718	   18.753	  670.159	  531.438	 1742.764
2000	42	    7.980	    6.328	   20.752	  777.589	  616.630	 2022.138
2000	43	   20.050	   15.899	   52.140	    0.003	    0.002	    0.007
2000	44	   73.290	   58.119	  190.593	   22.055	   17.490	   57.356
2000	45	 3702.841	 2936.362	 9629.321	   32.710	   25.939	   85.063
2000	46	   69.755	   55.316	  181.398	    0.956	    0.758	    2.486
2000	47	   14.650	   11.618	   38.098	    0.001	    0.001	    0.004
2000	48	    0.505	    0.401	    1.314	    0.000	    0.000	    0.000
2000	49	    0.158	    0.125	    0.410	    0.000	    0.000	    0.000
2000	50	    0.186	    0.147	    0.483	    0.000	    0.000	    0.000
2000	51	    1.223	    0.970	    3.182	    0.000	    0.000	    0.000
2000	52	    0.410	    0.325	    1.066	    0.000	    0.000	    0.000
2000	53	    0.040	    0.032	    0.104	    0.000	    0.000	    0.000
2000	54	    0.000	    0.000	    0.001	    0.000	    0.000	    0.000
