total deep ground water discharge [m3] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.84219E+07	0.39460E+07
2000	2	0.86830E+07	0.40587E+07
2000	3	0.89475E+07	0.41754E+07
2000	4	0.91863E+07	0.42966E+07
2000	5	0.94695E+07	0.44441E+07
2000	6	0.97782E+07	0.46139E+07
2000	7	0.10087E+08	0.48114E+07
2000	8	0.10409E+08	0.49960E+07
2000	9	0.10732E+08	0.51670E+07
2000	10	0.11021E+08	0.53244E+07
2000	11	0.11279E+08	0.54694E+07
2000	12	0.11509E+08	0.56016E+07
2000	13	0.11716E+08	0.57223E+07
2000	14	0.11901E+08	0.58315E+07
2000	15	0.12067E+08	0.59302E+07
2000	16	0.12215E+08	0.60193E+07
2000	17	0.12350E+08	0.61015E+07
2000	18	0.12504E+08	0.61915E+07
2000	19	0.12673E+08	0.63074E+07
2000	20	0.12827E+08	0.64152E+07
2000	21	0.12968E+08	0.65139E+07
2000	22	0.13094E+08	0.66027E+07
2000	23	0.13207E+08	0.66826E+07
2000	24	0.13307E+08	0.67547E+07
2000	25	0.13394E+08	0.68200E+07
2000	26	0.13471E+08	0.68787E+07
2000	27	0.13539E+08	0.69315E+07
2000	28	0.13612E+08	0.69880E+07
2000	29	0.13716E+08	0.70582E+07
2000	30	0.13834E+08	0.71456E+07
2000	31	0.13976E+08	0.72276E+07
2000	32	0.14114E+08	0.73043E+07
2000	33	0.14240E+08	0.73755E+07
2000	34	0.14354E+08	0.74401E+07
2000	35	0.14455E+08	0.74975E+07
2000	36	0.14544E+08	0.75484E+07
2000	37	0.14622E+08	0.75933E+07
2000	38	0.14697E+08	0.76355E+07
2000	39	0.14812E+08	0.76833E+07
2000	40	0.14959E+08	0.77547E+07
2000	41	0.15146E+08	0.78606E+07
2000	42	0.15359E+08	0.80077E+07
2000	43	0.15608E+08	0.81816E+07
2000	44	0.15908E+08	0.83961E+07
2000	45	0.16302E+08	0.86553E+07
2000	46	0.16700E+08	0.88927E+07
2000	47	0.17052E+08	0.91081E+07
2000	48	0.17364E+08	0.92995E+07
2000	49	0.17642E+08	0.94715E+07
2000	50	0.17889E+08	0.96275E+07
2000	51	0.18107E+08	0.97696E+07
2000	52	0.18304E+08	0.98982E+07
2000	53	0.18480E+08	0.10014E+08
2000	54	0.18636E+08	0.10118E+08
2000	55	0.18772E+08	0.10211E+08
2000	56	0.18891E+08	0.10294E+08
2000	57	0.18995E+08	0.10368E+08
2000	58	0.19085E+08	0.10433E+08
2000	59	0.19164E+08	0.10491E+08
2000	60	0.19233E+08	0.10543E+08
2000	61	0.19291E+08	0.10588E+08
2000	62	0.19339E+08	0.10626E+08
2000	63	0.19378E+08	0.10660E+08
2000	64	0.19410E+08	0.10689E+08
2000	65	0.19436E+08	0.10715E+08
2000	66	0.19456E+08	0.10738E+08
2000	67	0.19470E+08	0.10757E+08
2000	68	0.19479E+08	0.10774E+08
2000	69	0.19482E+08	0.10787E+08
2000	70	0.19480E+08	0.10796E+08
2000	71	0.19474E+08	0.10803E+08
2000	72	0.19464E+08	0.10807E+08
2000	73	0.19452E+08	0.10809E+08
2000	74	0.19435E+08	0.10808E+08
2000	75	0.19415E+08	0.10804E+08
2000	76	0.19392E+08	0.10797E+08
2000	77	0.19365E+08	0.10788E+08
2000	78	0.19337E+08	0.10777E+08
2000	79	0.19305E+08	0.10763E+08
2000	80	0.19278E+08	0.10748E+08
2000	81	0.19249E+08	0.10731E+08
2000	82	0.19216E+08	0.10713E+08
2000	83	0.19181E+08	0.10693E+08
2000	84	0.19142E+08	0.10672E+08
2000	85	0.19101E+08	0.10650E+08
2000	86	0.19056E+08	0.10626E+08
2000	87	0.19009E+08	0.10600E+08
2000	88	0.18959E+08	0.10573E+08
2000	89	0.18907E+08	0.10545E+08
2000	90	0.18853E+08	0.10516E+08
2000	91	0.18797E+08	0.10486E+08
2000	92	0.18740E+08	0.10455E+08
2000	93	0.18680E+08	0.10423E+08
2000	94	0.18619E+08	0.10390E+08
2000	95	0.18556E+08	0.10356E+08
2000	96	0.18492E+08	0.10321E+08
2000	97	0.18425E+08	0.10285E+08
2000	98	0.18357E+08	0.10248E+08
2000	99	0.18287E+08	0.10210E+08
2000	100	0.18216E+08	0.10171E+08
2000	101	0.18143E+08	0.10131E+08
2000	102	0.18070E+08	0.10091E+08
2000	103	0.17995E+08	0.10050E+08
2000	104	0.17920E+08	0.10009E+08
2000	105	0.17844E+08	0.99671E+07
2000	106	0.17766E+08	0.99246E+07
2000	107	0.17688E+08	0.98816E+07
2000	108	0.17608E+08	0.98379E+07
2000	109	0.17528E+08	0.97938E+07
2000	110	0.17448E+08	0.97494E+07
2000	111	0.17367E+08	0.97048E+07
2000	112	0.17286E+08	0.96600E+07
2000	113	0.17204E+08	0.96152E+07
2000	114	0.17123E+08	0.95701E+07
2000	115	0.17040E+08	0.95249E+07
2000	116	0.16958E+08	0.94795E+07
2000	117	0.16875E+08	0.94339E+07
2000	118	0.16791E+08	0.93880E+07
2000	119	0.16708E+08	0.93419E+07
2000	120	0.16624E+08	0.92956E+07
2000	121	0.16539E+08	0.92492E+07
2000	122	0.16455E+08	0.92026E+07
2000	123	0.16370E+08	0.91558E+07
2000	124	0.16285E+08	0.91090E+07
2000	125	0.16200E+08	0.90621E+07
2000	126	0.16116E+08	0.90153E+07
2000	127	0.16031E+08	0.89685E+07
2000	128	0.15946E+08	0.89217E+07
2000	129	0.15862E+08	0.88751E+07
2000	130	0.15777E+08	0.88285E+07
2000	131	0.15693E+08	0.87820E+07
2000	132	0.15609E+08	0.87354E+07
2000	133	0.15524E+08	0.86889E+07
2000	134	0.15440E+08	0.86425E+07
2000	135	0.15356E+08	0.85962E+07
2000	136	0.15272E+08	0.85498E+07
2000	137	0.15189E+08	0.85036E+07
2000	138	0.15105E+08	0.84574E+07
2000	139	0.15022E+08	0.84113E+07
2000	140	0.14938E+08	0.83653E+07
2000	141	0.14855E+08	0.83194E+07
2000	142	0.14772E+08	0.82735E+07
2000	143	0.14690E+08	0.82278E+07
2000	144	0.14607E+08	0.81822E+07
2000	145	0.14525E+08	0.81366E+07
2000	146	0.14443E+08	0.80912E+07
2000	147	0.14361E+08	0.80459E+07
2000	148	0.14280E+08	0.80007E+07
2000	149	0.14198E+08	0.79557E+07
2000	150	0.14117E+08	0.79107E+07
2000	151	0.14036E+08	0.78660E+07
2000	152	0.13956E+08	0.78213E+07
2000	153	0.13875E+08	0.77768E+07
2000	154	0.13795E+08	0.77324E+07
2000	155	0.13716E+08	0.76878E+07
2000	156	0.13636E+08	0.76434E+07
2000	157	0.13557E+08	0.75993E+07
2000	158	0.13479E+08	0.75554E+07
2000	159	0.13401E+08	0.75117E+07
2000	160	0.13323E+08	0.74681E+07
2000	161	0.13245E+08	0.74248E+07
2000	162	0.13168E+08	0.73817E+07
2000	163	0.13091E+08	0.73387E+07
