daily river flow [m3/s] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	 19.363	 11.017
2000	2	 21.986	 10.793
2000	3	 22.677	 11.073
2000	4	 22.127	 11.601
2000	5	 24.518	 13.157
2000	6	 26.191	 15.164
2000	7	 26.817	 17.176
2000	8	 27.954	 17.335
2000	9	 28.605	 16.506
2000	10	 27.257	 15.494
2000	11	 25.388	 14.405
2000	12	 23.541	 13.489
2000	13	 21.847	 12.541
2000	14	 20.321	 11.658
2000	15	 18.895	 10.858
2000	16	 17.422	 10.120
2000	17	 16.344	  9.597
2000	18	 16.838	  9.732
2000	19	 18.046	 11.414
2000	20	 17.957	 11.446
2000	21	 17.242	 10.892
2000	22	 16.335	 10.241
2000	23	 15.347	  9.585
2000	24	 14.294	  9.000
2000	25	 13.424	  8.487
2000	26	 12.634	  7.987
2000	27	 11.966	  7.579
2000	28	 11.742	  7.433
2000	29	 13.661	  8.331
2000	30	 15.008	  9.401
2000	31	 16.634	  9.891
2000	32	 17.071	  9.541
2000	33	 16.614	  9.103
2000	34	 15.873	  8.595
2000	35	 15.035	  8.065
2000	36	 14.132	  7.583
2000	37	 13.230	  7.146
2000	38	 12.684	  6.874
2000	39	 14.659	  6.975
2000	40	 17.266	  8.397
2000	41	 20.428	 10.627
2000	42	 22.981	 14.036
2000	43	 25.012	 16.125
2000	44	 29.426	 19.022
2000	45	 38.002	 22.569
2000	46	 39.482	 22.550
2000	47	 37.077	 20.813
2000	48	 34.392	 19.033
2000	49	 31.804	 17.643
2000	50	 29.440	 16.597
2000	51	 27.308	 15.466
2000	52	 25.622	 14.500
2000	53	 23.950	 13.563
2000	54	 22.262	 12.696
2000	55	 20.717	 11.911
2000	56	 19.411	 11.210
2000	57	 18.188	 10.514
2000	58	 17.149	  9.910
2000	59	 16.283	  9.407
2000	60	 15.466	  8.907
2000	61	 14.586	  8.415
2000	62	 13.766	  7.968
2000	63	 13.097	  7.591
2000	64	 12.556	  7.280
2000	65	 12.028	  7.015
2000	66	 11.536	  6.780
2000	67	 11.077	  6.553
2000	68	 10.614	  6.317
2000	69	 10.180	  6.068
2000	70	  9.817	  5.828
2000	71	  9.488	  5.609
2000	72	  9.134	  5.391
2000	73	  8.895	  5.206
2000	74	  8.598	  4.992
2000	75	  8.265	  4.791
2000	76	  7.972	  4.600
2000	77	  7.729	  4.426
2000	78	  7.493	  4.255
2000	79	  7.278	  4.082
2000	80	  7.232	  3.932
2000	81	  7.226	  3.803
2000	82	  7.037	  3.678
2000	83	  6.809	  3.569
2000	84	  6.584	  3.475
2000	85	  6.326	  3.345
2000	86	  6.061	  3.208
2000	87	  5.810	  3.082
2000	88	  5.597	  2.976
2000	89	  5.414	  2.879
2000	90	  5.240	  2.784
2000	91	  5.067	  2.702
2000	92	  4.894	  2.615
2000	93	  4.719	  2.530
2000	94	  4.541	  2.442
2000	95	  4.369	  2.356
2000	96	  4.201	  2.267
2000	97	  4.021	  2.170
2000	98	  3.846	  2.075
2000	99	  3.680	  1.986
2000	100	  3.532	  1.906
2000	101	  3.401	  1.839
2000	102	  3.288	  1.775
2000	103	  3.167	  1.710
2000	104	  3.051	  1.650
2000	105	  2.937	  1.591
2000	106	  2.817	  1.529
2000	107	  2.697	  1.464
2000	108	  2.587	  1.402
2000	109	  2.498	  1.349
2000	110	  2.408	  1.302
2000	111	  2.335	  1.264
2000	112	  2.273	  1.234
2000	113	  2.207	  1.204
2000	114	  2.133	  1.167
2000	115	  2.066	  1.137
2000	116	  1.995	  1.103
2000	117	  1.918	  1.065
2000	118	  1.840	  1.024
2000	119	  1.773	  0.985
2000	120	  1.708	  0.951
2000	121	  1.644	  0.918
2000	122	  1.587	  0.886
2000	123	  1.525	  0.850
2000	124	  1.472	  0.822
2000	125	  1.427	  0.798
2000	126	  1.386	  0.777
2000	127	  1.345	  0.755
2000	128	  1.308	  0.737
2000	129	  1.277	  0.723
2000	130	  1.244	  0.706
2000	131	  1.205	  0.685
2000	132	  1.165	  0.664
2000	133	  1.130	  0.649
2000	134	  1.098	  0.630
2000	135	  1.063	  0.611
2000	136	  1.029	  0.593
2000	137	  0.996	  0.575
2000	138	  0.965	  0.559
2000	139	  0.935	  0.544
2000	140	  0.906	  0.529
2000	141	  0.876	  0.513
2000	142	  0.849	  0.497
2000	143	  0.823	  0.482
2000	144	  0.800	  0.469
2000	145	  0.776	  0.455
2000	146	  0.752	  0.442
2000	147	  0.726	  0.428
2000	148	  0.701	  0.415
2000	149	  0.678	  0.403
2000	150	  0.658	  0.392
2000	151	  0.638	  0.381
2000	152	  0.617	  0.361
2000	153	  0.597	  0.332
2000	154	  0.579	  0.322
2000	155	  0.564	  0.314
2000	156	  0.550	  0.308
2000	157	  0.539	  0.303
2000	158	  0.529	  0.297
2000	159	  0.517	  0.292
2000	160	  0.503	  0.285
2000	161	  0.488	  0.279
2000	162	  0.475	  0.272
2000	163	  0.460	  0.265
2000	164	  0.447	  0.258
2000	165	  0.436	  0.253
2000	166	  0.426	  0.248
2000	167	  0.415	  0.242
2000	168	  0.403	  0.236
2000	169	  0.390	  0.229
2000	170	  0.378	  0.224
2000	171	  0.366	  0.218
2000	172	  0.354	  0.212
2000	173	  0.342	  0.207
2000	174	  0.331	  0.201
2000	175	  0.323	  0.196
2000	176	  0.314	  0.191
2000	177	  0.306	  0.187
2000	178	  0.299	  0.184
2000	179	  0.291	  0.180
2000	180	  0.284	  0.177
2000	181	  0.268	  0.172
2000	182	  0.242	  0.168
2000	183	  0.235	  0.164
2000	184	  0.230	  0.161
2000	185	  0.225	  0.157
2000	186	  0.220	  0.154
2000	187	  0.216	  0.151
2000	188	  0.212	  0.148
2000	189	  0.207	  0.145
2000	190	  0.203	  0.142
2000	191	  0.199	  0.139
2000	192	  0.195	  0.137
2000	193	  0.191	  0.134
2000	194	  0.188	  0.132
2000	195	  0.185	  0.130
2000	196	  0.182	  0.128
2000	197	  0.179	  0.126
2000	198	  0.176	  0.124
2000	199	  0.173	  0.122
2000	200	  0.171	  0.120
2000	201	  0.168	  0.119
2000	202	  0.166	  0.117
2000	203	  0.163	  0.115
2000	204	  0.160	  0.113
2000	205	  0.157	  0.111
2000	206	  0.155	  0.109
2000	207	  0.152	  0.107
2000	208	  0.149	  0.105
2000	209	  0.146	  0.103
2000	210	  0.143	  0.101
2000	211	  0.140	  0.098
2000	212	  0.137	  0.096
2000	213	  0.134	  0.094
2000	214	  0.131	  0.092
2000	215	  0.128	  0.090
2000	216	  0.126	  0.088
2000	217	  0.124	  0.086
2000	218	  0.122	  0.085
2000	219	  0.121	  0.084
2000	220	  0.140	  0.083
2000	221	  0.155	  0.082
2000	222	  0.159	  0.080
2000	223	  0.156	  0.079
2000	224	  0.153	  0.077
2000	225	  0.149	  0.075
2000	226	  0.145	  0.073
2000	227	  0.141	  0.071
2000	228	  0.137	  0.068
2000	229	  0.133	  0.066
2000	230	  0.129	  0.064
2000	231	  0.126	  0.062
2000	232	  0.122	  0.051
2000	233	  0.118	  0.031
2000	234	  0.114	  0.028
2000	235	  0.110	  0.027
2000	236	  0.106	  0.026
2000	237	  0.102	  0.025
2000	238	  0.099	  0.024
2000	239	  0.095	  0.023
2000	240	  0.093	  0.023
2000	241	  0.091	  0.022
2000	242	  0.088	  0.021
2000	243	  0.085	  0.021
2000	244	  0.082	  0.020
