daily river flow [m3] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.84230E+07	0.39480E+07
2000	2	0.10386E+08	0.40616E+07
2000	3	0.92160E+07	0.41783E+07
2000	4	0.92824E+07	0.42995E+07
2000	5	0.98984E+07	0.44474E+07
2000	6	0.10252E+08	0.46173E+07
2000	7	0.10497E+08	0.48149E+07
2000	8	0.10973E+08	0.49986E+07
2000	9	0.11210E+08	0.51693E+07
2000	10	0.11200E+08	0.53264E+07
2000	11	0.11328E+08	0.54712E+07
2000	12	0.11535E+08	0.56033E+07
2000	13	0.11759E+08	0.57238E+07
2000	14	0.11918E+08	0.58328E+07
2000	15	0.12070E+08	0.59314E+07
2000	16	0.12214E+08	0.60204E+07
2000	17	0.12349E+08	0.61027E+07
2000	18	0.12505E+08	0.61934E+07
2000	19	0.12674E+08	0.63098E+07
2000	20	0.12840E+08	0.64164E+07
2000	21	0.12969E+08	0.65149E+07
2000	22	0.13093E+08	0.66035E+07
2000	23	0.13206E+08	0.66833E+07
2000	24	0.13306E+08	0.67553E+07
2000	25	0.13393E+08	0.68205E+07
2000	26	0.13470E+08	0.68790E+07
2000	27	0.13537E+08	0.69317E+07
2000	28	0.13611E+08	0.69889E+07
2000	29	0.13885E+08	0.70597E+07
2000	30	0.13834E+08	0.71472E+07
2000	31	0.13977E+08	0.72283E+07
2000	32	0.14115E+08	0.73048E+07
2000	33	0.14240E+08	0.73759E+07
2000	34	0.14353E+08	0.74404E+07
2000	35	0.14454E+08	0.74977E+07
2000	36	0.14543E+08	0.75484E+07
2000	37	0.14621E+08	0.75932E+07
2000	38	0.14696E+08	0.76356E+07
2000	39	0.15621E+08	0.76841E+07
2000	40	0.14960E+08	0.80185E+07
2000	41	0.15288E+08	0.10377E+08
2000	42	0.15508E+08	0.10519E+08
2000	43	0.15896E+08	0.81854E+07
2000	44	0.16658E+08	0.85934E+07
2000	45	0.30726E+08	0.89274E+07
2000	46	0.17420E+08	0.89151E+07
2000	47	0.17280E+08	0.91117E+07
2000	48	0.17386E+08	0.93028E+07
2000	49	0.17652E+08	0.94744E+07
2000	50	0.17900E+08	0.96302E+07
2000	51	0.18144E+08	0.97721E+07
2000	52	0.18321E+08	0.99004E+07
2000	53	0.18484E+08	0.10016E+08
2000	54	0.18637E+08	0.10120E+08
2000	55	0.18773E+08	0.10212E+08
2000	56	0.18892E+08	0.10295E+08
2000	57	0.18995E+08	0.10369E+08
2000	58	0.19085E+08	0.10434E+08
2000	59	0.19164E+08	0.10492E+08
2000	60	0.19232E+08	0.10543E+08
2000	61	0.19290E+08	0.10588E+08
2000	62	0.19338E+08	0.10626E+08
2000	63	0.19377E+08	0.10659E+08
2000	64	0.19409E+08	0.10689E+08
2000	65	0.19435E+08	0.10714E+08
2000	66	0.19455E+08	0.10737E+08
2000	67	0.19469E+08	0.10756E+08
2000	68	0.19477E+08	0.10773E+08
2000	69	0.19480E+08	0.10786E+08
2000	70	0.19478E+08	0.10795E+08
2000	71	0.19472E+08	0.10802E+08
2000	72	0.19462E+08	0.10806E+08
2000	73	0.19449E+08	0.10807E+08
