total surface runoff [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.38449E+02	0.12983E+00
2000	2	1	0.17023E+07	0.13625E+03
2000	3	1	0.26699E+06	0.12024E+03
2000	4	1	0.95182E+05	0.11543E+03
2000	5	1	0.42749E+06	0.26925E+03
2000	6	1	0.47245E+06	0.22119E+03
2000	7	1	0.40894E+06	0.24523E+03
2000	8	1	0.56246E+06	0.48157E+02
2000	9	1	0.47557E+06	0.14507E+02
2000	10	1	0.17819E+06	0.14823E+00
2000	11	1	0.48288E+05	0.16847E+01
2000	12	1	0.25758E+05	0.12898E+02
2000	13	1	0.43150E+05	0.14190E+00
2000	14	1	0.17771E+05	0.64853E+01
2000	15	1	0.35848E+04	0.13757E+00
2000	16	1	0.63372E+02	0.16743E+01
2000	17	1	0.69143E+02	0.65761E+02
2000	18	1	0.15815E+03	0.12825E+03
2000	19	1	0.13974E+03	0.26765E+03
2000	20	1	0.12523E+05	0.16103E+02
2000	21	1	0.15749E+04	0.14023E+00
2000	22	1	0.62326E+01	0.13834E+00
2000	23	1	0.15262E+00	0.13624E+00
2000	24	1	0.46932E+01	0.96842E+01
2000	25	1	0.16967E+02	0.16712E+01
2000	26	1	0.10827E+02	0.48738E+01
2000	27	1	0.18498E+02	0.22496E+02
2000	28	1	0.12131E+03	0.12664E+03
2000	29	1	0.16955E+06	0.21637E+03
2000	30	1	0.14587E+03	0.22118E+03
2000	31	1	0.19651E+03	0.35328E+02
2000	32	1	0.72225E+02	0.80869E+01
2000	33	1	0.29258E+02	0.32785E+01
2000	34	1	0.12376E+02	0.13580E+00
2000	35	1	0.31664E+01	0.13399E+00
2000	36	1	0.77675E+01	0.13197E+00
2000	37	1	0.15383E+00	0.13001E+00
2000	38	1	0.78351E+02	0.70563E+02
2000	39	1	0.80896E+06	0.10261E+03
2000	40	1	0.22414E+03	0.26283E+06
2000	41	1	0.14016E+06	0.25158E+07
2000	42	1	0.14653E+06	0.25089E+07
2000	43	1	0.28584E+06	0.21961E+03
2000	44	1	0.74703E+06	0.19301E+06
2000	45	1	0.14425E+08	0.26713E+06
2000	46	1	0.71679E+06	0.18515E+05
2000	47	1	0.22417E+06	0.99348E+02
2000	48	1	0.18158E+05	0.22376E+02
2000	49	1	0.76059E+04	0.17130E+01
2000	50	1	0.87611E+04	0.16131E+02
2000	51	1	0.35389E+05	0.16961E+00
2000	52	1	0.15777E+05	0.33086E+01
2000	53	1	0.27997E+04	0.16534E+00
2000	54	1	0.39112E+02	0.16313E+00
2000	55	1	0.47256E+01	0.16998E+01
2000	56	1	0.93266E+01	0.16976E+01
2000	57	1	0.47209E+01	0.15657E+00
2000	58	1	0.93221E+01	0.32955E+01
2000	59	1	0.13923E+02	0.48957E+01
2000	60	1	0.10853E+02	0.15047E+00
2000	61	1	0.16999E+00	0.14845E+00
2000	62	1	0.16798E+00	0.14643E+00
2000	63	1	0.10847E+02	0.48879E+01
2000	64	1	0.31725E+01	0.14291E+00
2000	65	1	0.16365E+01	0.14152E+00
2000	66	1	0.31694E+01	0.80880E+01
2000	67	1	0.62368E+01	0.96889E+01
2000	68	1	0.77698E+01	0.80855E+01
2000	69	1	0.77682E+01	0.13636E+00
2000	70	1	0.24646E+02	0.14492E+02
2000	71	1	0.15438E+02	0.13346E+00
2000	72	1	0.77640E+01	0.13210E+00
2000	73	1	0.23108E+02	0.16696E+01
2000	74	1	0.31584E+01	0.12931E+00
2000	75	1	0.62257E+01	0.16666E+01
2000	76	1	0.21569E+02	0.16651E+01
2000	77	1	0.10827E+02	0.48679E+01
2000	78	1	0.12360E+02	0.12307E+00
2000	79	1	0.26169E+02	0.12154E+00
2000	80	1	0.96756E+02	0.64656E+01
2000	81	1	0.20034E+02	0.44917E+02
2000	82	1	0.14300E+00	0.64631E+01
2000	83	1	0.14143E+00	0.11269E+02
2000	84	1	0.13994E+00	0.32565E+01
2000	85	1	0.13851E+00	0.11432E+00
2000	86	1	0.13689E+00	0.11281E+00
2000	87	1	0.13520E+00	0.11127E+00
2000	88	1	0.13357E+00	0.10984E+00
2000	89	1	0.46750E+01	0.16475E+01
2000	90	1	0.46737E+01	0.10738E+00
2000	91	1	0.12953E+00	0.10618E+00
2000	92	1	0.12818E+00	0.10505E+00
2000	93	1	0.12678E+00	0.10379E+00
2000	94	1	0.12531E+00	0.10253E+00
2000	95	1	0.12379E+00	0.10118E+00
2000	96	1	0.12227E+00	0.99791E-01
2000	97	1	0.12066E+00	0.98217E-01
2000	98	1	0.11888E+00	0.96454E-01
2000	99	1	0.11708E+00	0.94717E-01
2000	100	1	0.11533E+00	0.93038E-01
2000	101	1	0.11373E+00	0.91517E-01
2000	102	1	0.11228E+00	0.90176E-01
2000	103	1	0.11092E+00	0.88806E-01
2000	104	1	0.10942E+00	0.87415E-01
2000	105	1	0.10794E+00	0.86080E-01
2000	106	1	0.10637E+00	0.84653E-01
2000	107	1	0.10463E+00	0.83050E-01
2000	108	1	0.10294E+00	0.81308E-01
2000	109	1	0.10149E+00	0.79651E-01
2000	110	1	0.10021E+00	0.78186E-01
2000	111	1	0.31072E+01	0.76875E-01
2000	112	1	0.31062E+01	0.75821E-01
2000	113	1	0.96808E-01	0.74909E-01
2000	114	1	0.95655E-01	0.73885E-01
2000	115	1	0.94422E-01	0.72721E-01
2000	116	1	0.93229E-01	0.71703E-01
2000	117	1	0.91856E-01	0.70469E-01
2000	118	1	0.90343E-01	0.69061E-01
2000	119	1	0.88848E-01	0.67555E-01
2000	120	1	0.87486E-01	0.66130E-01
2000	121	1	0.86081E-01	0.64828E-01
2000	122	1	0.84685E-01	0.63452E-01
2000	123	1	0.83333E-01	0.61990E-01
2000	124	1	0.81905E-01	0.60515E-01
2000	125	1	0.80681E-01	0.59354E-01
2000	126	1	0.79590E-01	0.58393E-01
2000	127	1	0.78520E-01	0.57488E-01
2000	128	1	0.77473E-01	0.56541E-01
2000	129	1	0.76526E-01	0.55818E-01
2000	130	1	0.75652E-01	0.55127E-01
2000	131	1	0.74619E-01	0.54203E-01
2000	132	1	0.73430E-01	0.53139E-01
2000	133	1	0.72302E-01	0.52159E-01
2000	134	1	0.71285E-01	0.51292E-01
2000	135	1	0.70227E-01	0.50238E-01
2000	136	1	0.69088E-01	0.49164E-01
2000	137	1	0.67973E-01	0.48099E-01
2000	138	1	0.66865E-01	0.47096E-01
2000	139	1	0.65784E-01	0.46120E-01
2000	140	1	0.64707E-01	0.45157E-01
2000	141	1	0.63614E-01	0.44125E-01
2000	142	1	0.62523E-01	0.43027E-01
2000	143	1	0.61486E-01	0.41904E-01
2000	144	1	0.60509E-01	0.40837E-01
2000	145	1	0.59600E-01	0.39906E-01
2000	146	1	0.58570E-01	0.38849E-01
2000	147	1	0.57474E-01	0.37770E-01
2000	148	1	0.56321E-01	0.36696E-01
2000	149	1	0.55177E-01	0.35613E-01
2000	150	1	0.54139E-01	0.34605E-01
2000	151	1	0.53155E-01	0.33668E-01
2000	152	1	0.52087E-01	0.32635E-01
2000	153	1	0.50968E-01	0.31513E-01
2000	154	1	0.49911E-01	0.30513E-01
2000	155	1	0.48937E-01	0.29771E-01
2000	156	1	0.48106E-01	0.29313E-01
2000	157	1	0.47358E-01	0.29014E-01
2000	158	1	0.46700E-01	0.28720E-01
2000	159	1	0.46015E-01	0.28439E-01
2000	160	1	0.45158E-01	0.28156E-01
2000	161	1	0.44193E-01	0.27774E-01
2000	162	1	0.43218E-01	0.27404E-01
2000	163	1	0.42231E-01	0.27040E-01
2000	164	1	0.41187E-01	0.26619E-01
2000	165	1	0.40255E-01	0.15651E+01
2000	166	1	0.39440E-01	0.25955E-01
2000	167	1	0.38577E-01	0.25621E-01
2000	168	1	0.37568E-01	0.25238E-01
2000	169	1	0.36490E-01	0.24809E-01
2000	170	1	0.35327E-01	0.24406E-01
2000	171	1	0.34181E-01	0.24027E-01
2000	172	1	0.33013E-01	0.23633E-01
2000	173	1	0.31802E-01	0.23207E-01
2000	174	1	0.30568E-01	0.22787E-01
2000	175	1	0.29432E-01	0.22371E-01
2000	176	1	0.28494E-01	0.21997E-01
2000	177	1	0.27500E-01	0.21644E-01
2000	178	1	0.26689E-01	0.21330E-01
2000	179	1	0.26161E-01	0.21065E-01
2000	180	1	0.25808E-01	0.20790E-01
2000	181	1	0.25473E-01	0.20450E-01
2000	182	1	0.25111E-01	0.20081E-01
2000	183	1	0.24748E-01	0.19715E-01
2000	184	1	0.24422E-01	0.19381E-01
2000	185	1	0.24116E-01	0.19074E-01
2000	186	1	0.23801E-01	0.18763E-01
2000	187	1	0.23474E-01	0.18439E-01
2000	188	1	0.23188E-01	0.18174E-01
2000	189	1	0.22880E-01	0.17869E-01
2000	190	1	0.22561E-01	0.17553E-01
2000	191	1	0.22254E-01	0.17257E-01
2000	192	1	0.21983E-01	0.16985E-01
2000	193	1	0.21703E-01	0.16699E-01
2000	194	1	0.21417E-01	0.16413E-01
2000	195	1	0.21163E-01	0.16170E-01
2000	196	1	0.20957E-01	0.15984E-01
2000	197	1	0.20718E-01	0.15745E-01
2000	198	1	0.20478E-01	0.15508E-01
2000	199	1	0.20247E-01	0.15283E-01
2000	200	1	0.20035E-01	0.15076E-01
2000	201	1	0.19819E-01	0.14867E-01
2000	202	1	0.19585E-01	0.14645E-01
2000	203	1	0.19350E-01	0.14419E-01
2000	204	1	0.19117E-01	0.14191E-01
2000	205	1	0.18875E-01	0.13953E-01
2000	206	1	0.18645E-01	0.13731E-01
2000	207	1	0.18391E-01	0.13471E-01
2000	208	1	0.18128E-01	0.13200E-01
2000	209	1	0.17835E-01	0.12909E-01
2000	210	1	0.17525E-01	0.12590E-01
2000	211	1	0.18370E+02	0.12253E-01
2000	212	1	0.14908E+01	0.11935E-01
2000	213	1	0.16709E-01	0.11638E-01
2000	214	1	0.16388E-01	0.11307E-01
2000	215	1	0.16074E-01	0.10983E-01
2000	216	1	0.30645E+02	0.10668E-01
2000	217	1	0.60928E+01	0.35196E+02
2000	218	1	0.30237E+01	0.10174E-01
2000	219	1	0.70541E+02	0.10002E-01
2000	220	1	0.27463E+03	0.75250E+02
2000	221	1	0.98168E+02	0.15485E+01
2000	222	1	0.21523E-01	0.94146E-02
2000	223	1	0.19245E-01	0.91661E-02
2000	224	1	0.18960E-01	0.88447E-02
2000	225	1	0.18646E-01	0.85110E-02
2000	226	1	0.18274E-01	0.81408E-02
2000	227	1	0.17890E-01	0.77566E-02
2000	228	1	0.17499E-01	0.73576E-02
2000	229	1	0.17092E-01	0.69234E-02
2000	230	1	0.16671E-01	0.64836E-02
2000	231	1	0.16244E-01	0.60309E-02
2000	232	1	0.15839E-01	0.56079E-02
2000	233	1	0.15406E-01	0.51555E-02
2000	234	1	0.14943E-01	0.47651E-02
2000	235	1	0.14472E-01	0.44794E-02
2000	236	1	0.13979E-01	0.42174E-02
2000	237	1	0.13476E-01	0.39528E-02
2000	238	1	0.12979E-01	0.36917E-02
2000	239	1	0.12492E-01	0.34227E-02
2000	240	1	0.12074E-01	0.31929E-02
2000	241	1	0.45545E+01	0.79508E+01
2000	242	1	0.11407E-01	0.28480E-02
2000	243	1	0.10963E-01	0.26142E-02
2000	244	1	0.10522E-01	0.23688E-02
