total subsurface runoff (groundwater+interflow) [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.72391E+07	0.38922E+07
2000	2	1	0.74575E+07	0.39926E+07
2000	3	1	0.76784E+07	0.40953E+07
2000	4	1	0.78793E+07	0.42015E+07
2000	5	1	0.81186E+07	0.43309E+07
2000	6	1	0.83799E+07	0.44793E+07
2000	7	1	0.86424E+07	0.46515E+07
2000	8	1	0.89176E+07	0.48117E+07
2000	9	1	0.91962E+07	0.49604E+07
2000	10	1	0.94459E+07	0.50975E+07
2000	11	1	0.96715E+07	0.52239E+07
2000	12	1	0.98745E+07	0.53392E+07
2000	13	1	0.10058E+08	0.54446E+07
2000	14	1	0.10222E+08	0.55395E+07
2000	15	1	0.10370E+08	0.56256E+07
2000	16	1	0.10503E+08	0.57031E+07
2000	17	1	0.10625E+08	0.57744E+07
2000	18	1	0.10764E+08	0.58524E+07
2000	19	1	0.10915E+08	0.59528E+07
2000	20	1	0.11052E+08	0.60447E+07
2000	21	1	0.11178E+08	0.61296E+07
2000	22	1	0.11291E+08	0.62059E+07
2000	23	1	0.11393E+08	0.62745E+07
2000	24	1	0.11484E+08	0.63361E+07
2000	25	1	0.11564E+08	0.63917E+07
2000	26	1	0.11635E+08	0.64413E+07
2000	27	1	0.11697E+08	0.64858E+07
2000	28	1	0.11765E+08	0.65335E+07
2000	29	1	0.11859E+08	0.65928E+07
2000	30	1	0.11965E+08	0.66665E+07
2000	31	1	0.12092E+08	0.67346E+07
2000	32	1	0.12214E+08	0.67985E+07
2000	33	1	0.12326E+08	0.68575E+07
2000	34	1	0.12426E+08	0.69111E+07
2000	35	1	0.12517E+08	0.69586E+07
2000	36	1	0.12597E+08	0.70006E+07
2000	37	1	0.12668E+08	0.70375E+07
2000	38	1	0.12736E+08	0.70717E+07
2000	39	1	0.12840E+08	0.71111E+07
2000	40	1	0.12971E+08	0.71703E+07
2000	41	1	0.13137E+08	0.72592E+07
2000	42	1	0.13326E+08	0.73834E+07
2000	43	1	0.13544E+08	0.75300E+07
2000	44	1	0.13809E+08	0.77111E+07
2000	45	1	0.14158E+08	0.79298E+07
2000	46	1	0.14510E+08	0.81288E+07
2000	47	1	0.14824E+08	0.83110E+07
2000	48	1	0.15105E+08	0.84740E+07
2000	49	1	0.15356E+08	0.86206E+07
2000	50	1	0.15581E+08	0.87537E+07
2000	51	1	0.15781E+08	0.88751E+07
2000	52	1	0.15962E+08	0.89848E+07
2000	53	1	0.16125E+08	0.90840E+07
2000	54	1	0.16271E+08	0.91729E+07
2000	55	1	0.16399E+08	0.92523E+07
2000	56	1	0.16511E+08	0.93234E+07
2000	57	1	0.16610E+08	0.93863E+07
2000	58	1	0.16696E+08	0.94418E+07
2000	59	1	0.16773E+08	0.94913E+07
2000	60	1	0.16839E+08	0.95349E+07
2000	61	1	0.16897E+08	0.95725E+07
2000	62	1	0.16945E+08	0.96049E+07
2000	63	1	0.16985E+08	0.96326E+07
2000	64	1	0.17018E+08	0.96569E+07
2000	65	1	0.17046E+08	0.96782E+07
2000	66	1	0.17069E+08	0.96964E+07
2000	67	1	0.17086E+08	0.97119E+07
2000	68	1	0.17098E+08	0.97246E+07
2000	69	1	0.17105E+08	0.97345E+07
2000	70	1	0.17107E+08	0.97413E+07
2000	71	1	0.17106E+08	0.97458E+07
2000	72	1	0.17100E+08	0.97476E+07
2000	73	1	0.17092E+08	0.97472E+07
2000	74	1	0.17080E+08	0.97442E+07
2000	75	1	0.17065E+08	0.97388E+07
2000	76	1	0.17047E+08	0.97311E+07
2000	77	1	0.17026E+08	0.97214E+07
2000	78	1	0.17002E+08	0.97096E+07
2000	79	1	0.16976E+08	0.96959E+07
2000	80	1	0.16955E+08	0.96805E+07
2000	81	1	0.16930E+08	0.96636E+07
2000	82	1	0.16903E+08	0.96453E+07
2000	83	1	0.16874E+08	0.96258E+07
2000	84	1	0.16841E+08	0.96053E+07
2000	85	1	0.16806E+08	0.95834E+07
2000	86	1	0.16768E+08	0.95601E+07
2000	87	1	0.16728E+08	0.95355E+07
2000	88	1	0.16685E+08	0.95099E+07
2000	89	1	0.16641E+08	0.94833E+07
2000	90	1	0.16595E+08	0.94558E+07
2000	91	1	0.16547E+08	0.94276E+07
2000	92	1	0.16497E+08	0.93985E+07
2000	93	1	0.16446E+08	0.93686E+07
2000	94	1	0.16393E+08	0.93378E+07
2000	95	1	0.16339E+08	0.93063E+07
2000	96	1	0.16283E+08	0.92739E+07
2000	97	1	0.16225E+08	0.92406E+07
2000	98	1	0.16166E+08	0.92063E+07
2000	99	1	0.16106E+08	0.91713E+07
2000	100	1	0.16044E+08	0.91355E+07
2000	101	1	0.15981E+08	0.90993E+07
2000	102	1	0.15917E+08	0.90625E+07
2000	103	1	0.15852E+08	0.90252E+07
2000	104	1	0.15787E+08	0.89874E+07
2000	105	1	0.15720E+08	0.89492E+07
2000	106	1	0.15653E+08	0.89104E+07
2000	107	1	0.15585E+08	0.88712E+07
2000	108	1	0.15516E+08	0.88315E+07
2000	109	1	0.15446E+08	0.87914E+07
2000	110	1	0.15376E+08	0.87511E+07
2000	111	1	0.15305E+08	0.87106E+07
2000	112	1	0.15234E+08	0.86699E+07
2000	113	1	0.15163E+08	0.86293E+07
2000	114	1	0.15092E+08	0.85884E+07
2000	115	1	0.15020E+08	0.85474E+07
2000	116	1	0.14948E+08	0.85063E+07
2000	117	1	0.14875E+08	0.84651E+07
2000	118	1	0.14802E+08	0.84235E+07
2000	119	1	0.14729E+08	0.83818E+07
2000	120	1	0.14655E+08	0.83400E+07
2000	121	1	0.14581E+08	0.82981E+07
2000	122	1	0.14507E+08	0.82560E+07
2000	123	1	0.14433E+08	0.82138E+07
2000	124	1	0.14359E+08	0.81716E+07
2000	125	1	0.14284E+08	0.81294E+07
2000	126	1	0.14210E+08	0.80872E+07
2000	127	1	0.14135E+08	0.80450E+07
2000	128	1	0.14061E+08	0.80028E+07
2000	129	1	0.13987E+08	0.79608E+07
2000	130	1	0.13913E+08	0.79188E+07
2000	131	1	0.13839E+08	0.78769E+07
2000	132	1	0.13765E+08	0.78349E+07
